epoch,lr,train_loss,val_loss,val_acc,val_auc,val_f1,val_precision,val_recall,inference_fps
1,0.000100,0.6697,0.6652,0.5792,0.6388,0.6453,0.5585,0.7640,1574.08
2,0.000099,0.4876,1.5956,0.5060,0.6636,0.6693,0.5035,0.9980,1525.55
3,0.000098,0.1507,1.1661,0.5882,0.6346,0.6589,0.5631,0.7940,1638.06
4,0.000095,0.0284,1.1698,0.5902,0.6418,0.6299,0.5752,0.6960,1646.69
5,0.000091,0.0076,1.1657,0.6112,0.6471,0.6049,0.6162,0.5940,1618.31
6,0.000086,0.0026,1.1648,0.6162,0.6517,0.6080,0.6226,0.5940,1490.25
7,0.000080,0.0017,1.1668,0.6112,0.6521,0.6112,0.6124,0.6100,1592.13
8,0.000073,0.0012,1.1721,0.6072,0.6527,0.6103,0.6067,0.6140,1475.71
9,0.000066,0.0011,1.1852,0.6112,0.6521,0.6049,0.6162,0.5940,1448.27
10,0.000058,0.0010,1.1900,0.6132,0.6524,0.6132,0.6145,0.6120,1469.40
11,0.000051,0.0009,1.2036,0.6082,0.6530,0.5998,0.6143,0.5860,1660.84
12,0.000043,0.0007,1.1960,0.6102,0.6525,0.6114,0.6108,0.6120,1468.93
13,0.000035,0.0007,1.2043,0.6122,0.6517,0.6095,0.6151,0.6040,1649.71
14,0.000028,0.0006,1.2054,0.6092,0.6517,0.6084,0.6109,0.6060,1510.23
15,0.000021,0.0006,1.2255,0.6112,0.6522,0.5950,0.6223,0.5700,1669.72
16,0.000015,0.0006,1.2096,0.6112,0.6523,0.6097,0.6134,0.6060,1430.15
17,0.000010,0.0006,1.2229,0.6172,0.6522,0.6078,0.6245,0.5920,1717.73
18,0.000006,0.0006,1.2127,0.6082,0.6522,0.6109,0.6079,0.6140,1531.53
19,0.000003,0.0006,1.2154,0.6112,0.6522,0.6065,0.6152,0.5980,1440.04
20,0.000002,0.0006,1.2183,0.6122,0.6525,0.6055,0.6175,0.5940,1660.17
Test_Set,-,-,-,0.5070,0.6873,0.6702,0.5040,1.0000,-
